importId;name;code;workshopStockLocation_name;company_code;statusSelect;product_code
;PP 7012-9 MADONNA 4XL NEGRO;PP-7012-9;Main Workshop;BASE;3;7012-9
;PP 7012-10 MADONNA 5XL NEGRO;PP-7012-10;Main Workshop;BASE;3;7012-10
;PP 9553-1 KOURTNEY 2XS NEGRO;PP-9553-1;Main Workshop;BASE;3;9553-1
;PP 9553-2 KOURTNEY XS NEGRO;PP-9553-2;Main Workshop;BASE;3;9553-2
;PP 9553-3 KOURTNEY S NEGRO;PP-9553-3;Main Workshop;BASE;3;9553-3
;PP 9553-4 KOURTNEY M NEGRO;PP-9553-4;Main Workshop;BASE;3;9553-4
;PP 9553-5 KOURTNEY L NEGRO;PP-9553-5;Main Workshop;BASE;3;9553-5
;PP 9553-6 KOURTNEY XL NEGRO;PP-9553-6;Main Workshop;BASE;3;9553-6
;PP 9553-7 KOURTNEY 2XL NEGRO;PP-9553-7;Main Workshop;BASE;3;9553-7
;PP 9553-8 KOURTNEY 3XL NEGRO;PP-9553-8;Main Workshop;BASE;3;9553-8
;PP 9553-9 KOURTNEY 4XL NEGRO;PP-9553-9;Main Workshop;BASE;3;9553-9
;PP 9553-10 KOURTNEY 5XL NEGRO;PP-9553-10;Main Workshop;BASE;3;9553-10
;PP 9553-11 KOURTNEY 2XS BEIGE;PP-9553-11;Main Workshop;BASE;3;9553-11
;PP 9553-12 KOURTNEY XS BEIGE;PP-9553-12;Main Workshop;BASE;3;9553-12
;PP 9553-13 KOURTNEY S BEIGE;PP-9553-13;Main Workshop;BASE;3;9553-13
;PP 9553-14 KOURTNEY M BEIGE;PP-9553-14;Main Workshop;BASE;3;9553-14
;PP 9553-15 KOURTNEY L BEIGE;PP-9553-15;Main Workshop;BASE;3;9553-15
;PP 9553-16 KOURTNEY XL BEIGE;PP-9553-16;Main Workshop;BASE;3;9553-16
;PP 9553-17 KOURTNEY 2XL BEIGE;PP-9553-17;Main Workshop;BASE;3;9553-17
;PP 9553-18 KOURTNEY 3XL BEIGE;PP-9553-18;Main Workshop;BASE;3;9553-18
;PP 9553-19 KOURTNEY 4XL BEIGE;PP-9553-19;Main Workshop;BASE;3;9553-19
;PP 9553-20 KOURTNEY 5XL BEIGE;PP-9553-20;Main Workshop;BASE;3;9553-20
;PP 9563-1 LUCY 2XS NEGRO;PP-9563-1;Main Workshop;BASE;3;9563-1
;PP 9563-2 LUCY XS NEGRO;PP-9563-2;Main Workshop;BASE;3;9563-2
;PP 9563-3 LUCY S NEGRO;PP-9563-3;Main Workshop;BASE;3;9563-3
;PP 9563-4 LUCY M NEGRO;PP-9563-4;Main Workshop;BASE;3;9563-4
;PP 9563-5 LUCY L NEGRO;PP-9563-5;Main Workshop;BASE;3;9563-5
;PP 9563-6 LUCY XL NEGRO;PP-9563-6;Main Workshop;BASE;3;9563-6
;PP 9563-7 LUCY 2XL NEGRO;PP-9563-7;Main Workshop;BASE;3;9563-7
;PP 9563-8 LUCY 3XL NEGRO;PP-9563-8;Main Workshop;BASE;3;9563-8
;PP 9563-9 LUCY 4XL NEGRO;PP-9563-9;Main Workshop;BASE;3;9563-9
